matrix,Adaptive-rt
Maragal_6.mtx,1380.76
nemsemm1.mtx,2127.37
mesh3e1.mtx,32.9163
TSOPF_RS_b39_c7.mtx,193.298
t2d_q9_A_31.mtx,93.8281
tols4000.mtx,40.9268
Reuters911_Day_31.mtx,64.402
tols340.mtx,38.7843
oscil_dcop_28.mtx,31.1938
oscil_dcop_52.mtx,31.6715
large_A_20.mtx,63.3273
kineticBatchReactor_8.mtx,186.302
bas1lp.mtx,566.927
c-30.mtx,50.8949
fs_183_4.mtx,38.3261
Trec10.mtx,60.4566
ex40.mtx,424.256
t2d_q4_A_40.mtx,89.776
lpi_box1.mtx,33.2353
Reuters911_Day_39.mtx,65.803
LF10000_E.mtx,76.3686
t2dal_bci_B.mtx,30.0237
bcsstk20.mtx,31.0257
t2dah_a.mtx,105.074
case9_b2_04.mtx,40.9598
viscoplastic1_C_2.mtx,61.6745
LFAT5000_E.mtx,65.3998
S80PI_n1_E.mtx,33.7756
xingo_afonso_itaipu.mtx,77.2628
Franz5.mtx,58.1081
c-41.mtx,152.839
hydr1c_A_08.mtx,61.2112
bips07_1693.mtx,76.5533
t2d_q4_A_07.mtx,91.705
k3plates.mtx,338.793
hydr1c_A_43.mtx,56.1766
lpi_chemcom.mtx,32.1075
large_A_30.mtx,64.3813
t2d_q9_A_33.mtx,87.9822
scsd8-2r_A_07.mtx,43.6808
human_gene1.mtx,14641.3
raefsky6.mtx,271.623
Reuters911_Day_57.mtx,46.7679
rail_20209_E.mtx,98.9887
lp_pds_06.mtx,120.45
t2d_q9_A_32.mtx,87.8808
Reuters911_Day_49.mtx,60.2454
ex31.mtx,280.59
c-40.mtx,61.11
mixtank_new.mtx,1578.88
S80PI_n_E.mtx,33.1374
Lederberg.mtx,243.971
Reuters911_Day_08.mtx,62.2954
hydr1c_A_26.mtx,54.9421
delf_A_16.mtx,52.3529
case9_b2_11.mtx,46.2492
lp_share1b.mtx,39.4227
lp_ken_11.mtx,105.091
nsic.mtx,41.1939
ACTIVSg10K.mtx,189.517
scagr7-2b.mtx,80.6883
case9_b1_10.mtx,51.1949
photogrammetry2.mtx,67.2202
scsd8-2r_A_06.mtx,39.379
p05.mtx,102.575
large_A_23.mtx,60.6299
delf_A_24.mtx,53.4698
large_A_26.mtx,64.1625
mbeaflw.mtx,100.299
LF10000.mtx,77.7368
hydr1c_A_11.mtx,55.5564
nemeth26.mtx,636.912
rail_20209_C.mtx,37.2234
lp_nug12.mtx,50.9243
delf_A_04.mtx,54.7536
msc04515.mtx,67.5633
poli3.mtx,162.681
hydr1c_A_55.mtx,59.3495
stat96v1.mtx,607.159
hydr1c_A_09.mtx,57.4337
fv1.mtx,61.4573
sctap1-2r.mtx,311.408
hydr1c_A_47.mtx,54.754
hydr1c_A_66.mtx,54.3455
lns_131.mtx,31.5955
steam1.mtx,45.8131
deter7.mtx,86.601
lowThrust_10.mtx,111.341
Reuters911_Day_18.mtx,66.924
g7jac080sc.mtx,678.724
s1rmt3m1.mtx,125.237
case9_b2_06.mtx,40.8677
exdata_1.mtx,1026.52
sctap1-2b.mtx,185.382
TSOPF_RS_b39_c7_b.mtx,42.4409
nemeth13.mtx,234.599
large_A_12.mtx,57.2283
t2d_q4_A_16.mtx,88.0274
mk12-b2.mtx,52.7596
lhr17c.mtx,396.548
Hamrle2_b.mtx,36.1593
scrs8-2r.mtx,103.918
lp_ship04l.mtx,42.0822
M80PI_n1_E.mtx,32.4649
large_A_27.mtx,59.787
Kemelmacher.mtx,118.506
freeFlyingRobot_16.mtx,168.649
plat362.mtx,34.9231
scsd8-2b_A_2.mtx,36.9799
bcsstm22.mtx,29.5991
ABACUS_shell_hd_E.mtx,87.5866
cz5108.mtx,71.3248
breasttissue_10NN.mtx,40.7562
memplus.mtx,465.715
ch7-7-b2.mtx,59.5532
wiki-RfA_Negative.mtx,229.968
fs_183_3.mtx,37.7425
Zd_Jac2.mtx,1748.66
t2d_q4_A_25.mtx,91.791
large_A_17.mtx,60.3849
large_A_04.mtx,61.4232
Hamrle2.mtx,48.0469
t2d_q9_A_22.mtx,87.7538
g7jac040sc.mtx,267.197
har_10NN.mtx,129.768
hydr1c_A_51.mtx,58.1172
FEM_3D_thermal1.mtx,340.566
ABACUS_shell_ld_E.mtx,89.2397
lp_d6cube.mtx,643.386
