matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
oscil_dcop_57,1544,430,430,0,r,1,0,3.590698,1,13,662,882,42.876,1386,158,89.767,1288,256,83.42,2.619296,3.1016,3.20576,3.685792,3.083296,3.04176,3.154944,0.844498,0.817059,0.710647,0.849512,0.861112,0.83022,0,0.0000000207514,4.2209E-14,1.31889E-10,2.01763E-10,2.01763E-10,2.01763E-10,4.272,0.613131,0.00000302972
garon1,88927,3175,3175,0,r,1,0,28.008504,5,45,73698,15229,82.875,50434,38493,56.714,15685,73242,17.638,71.252579,73.911903,81.621887,78.457726,71.837921,71.38192,72.962112,0.96402,0.872959,0.908165,0.991852,0.998188,0.97657,0,0.0000000426345,0.0000000069095,1.04526E-10,7.42266E-11,7.42266E-11,7.42266E-11,36.672482,1.942944,0.00000794545
gemat1,47369,4929,10595,0,r,1,0,9.610266,4,4928,26780,20589,56.535,14315,33054,30.22,4,47365,0.008,63.152576,72.245789,76.621796,74.291519,68.71891,63.427456,69.411072,0.874135,0.824212,0.850064,0.918999,0.995666,0.909834,0,0.0000000212919,1.65705E-10,3.53606E-11,2.58183E-13,2.58183E-13,2.58183E-13,40.578049,1.556324,0.00000739387
oscil_dcop_48,1544,430,430,0,r,1,0,3.590698,1,13,662,882,42.876,1386,158,89.767,1288,256,83.42,2.613568,3.048896,3.970496,3.055904,3.064416,3.052512,3.171392,0.857218,0.658247,0.855252,0.852876,0.856202,0.824108,0,0.0000000695263,5.9298E-14,2.21395E-10,2.51971E-10,2.51971E-10,2.51971E-10,3.2696,0.799354,0.00000797251
nopss_11k,44941,11685,11685,0,r,1,0,3.846042,1,30,6210,38731,13.818,44937,4,99.991,44941,0,100,22.902369,27.914593,28.122656,28.96464,27.844416,27.858976,28.541985,0.820444,0.814374,0.790701,0.822512,0.822082,0.80241,0,0.0000000301955,1.6982E-26,8.03359E-23,0.0000000301955,0.0000000301955,0.0000000301955,17.162239,1.334463,0.00000421086
hydr1c_A_53,19479,5308,5308,0,r,1,0,3.669744,1,12,7292,12187,37.435,18197,1282,93.419,18051,1428,92.669,12.06896,15.063616,17.106592,15.913664,14.73952,14.394304,16.055904,0.801199,0.705515,0.758402,0.818816,0.838454,0.751684,0,0.0000000502339,1.13422E-13,6.62361E-11,3.99125E-10,3.99125E-10,3.99125E-10,9.752544,1.237519,0.0000062063
aft01,125567,8205,8205,1,r,1,0,15.303717,8,21,67358,58209,53.643,125566,1,99.999,125567,0,100,87.631393,99.588097,103.291168,102.523392,102.526428,100.137794,102.248573,0.879938,0.848392,0.854745,0.85472,0.875108,0.857043,0,0.0000000136313,2.16353E-20,3.65005E-14,0.0000000136313,0.0000000136313,0.0000000136313,46.72224,1.875582,0.00000484387
sherman5,20793,3312,3312,0,r,1,0,6.27808,1,21,7215,13578,34.699,12774,8019,61.434,1719,19074,8.267,15.572768,18.272545,18.362112,19.432224,15.914176,15.91632,17.124256,0.85225,0.848092,0.801389,0.978547,0.978415,0.909398,0,0.0000000547401,8.69119E-11,4.43431E-10,9.36391E-11,9.36391E-11,9.36391E-11,11.092192,1.40394,0.00000741743
nmos3,386594,18588,18588,0,r,1,0,20.798042,5,33,268652,117942,69.492,382104,4490,98.839,365691,20903,94.593,378.874878,400.172028,462.959229,415.418701,407.108032,395.851776,403.774933,0.94678,0.818376,0.912031,0.930649,0.957113,0.938332,0,0.0000000401785,1.65577E-14,4.58E-12,4.47958E-12,4.47958E-12,4.47958E-12,186.344131,2.0332,0.00000601947
case9_b1_01,14453,14454,1,0,r,1,1,0.999931,0,1,14434,19,99.869,14424,29,99.799,14453,0,100,10.316384,10.96848,11.732544,11.650752,11.32096,11.40896,11.681056,0.940548,0.879296,0.885469,0.911264,0.904235,0.883172,0,0.0000000181726,3.01497E-11,2.82282E-11,0.0000000181726,0.0000000181726,0.0000000181726,9.57808,1.077083,0.00000213468
