matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr,adaptive-rt
random_mtx_33,65291,500,500,0,r,1,0,130.582,101,164,65291,0,100,3225,62066,4.939,0,65291,0,20.64864,27.401312,27.570848,21.726816,22.23616,20.894464,21.097441,0.753564,0.74893,0.950376,0.928606,0.988235,0.978727,0,0.0000000414763,0.0000000414763,5.09947E-10,0,0,0,21.287041,0.97001,0.0000118622,338.169
random_mtx_34,23068,500,500,0,r,1,0,46.136,27,66,23068,0,100,1131,21937,4.903,0,23068,0,13.92784,16.209921,16.538656,15.771488,13.974848,13.93424,14.010624,0.859217,0.842139,0.883102,0.996636,0.999541,0.994091,0,0.0000000416726,0.0000000416726,4.70952E-10,0,0,0,9.639328,1.444897,0.00000886226,571.698
random_mtx_35,14970,500,500,0,r,1,0,29.94,15,49,14970,0,100,729,14241,4.87,0,14970,0,12.13264,13.483328,14.569248,13.936288,12.350656,12.288992,12.455328,0.899825,0.832757,0.870579,0.982348,0.987277,0.974092,0,0.0000000439023,0.0000000439023,5.37197E-10,0,0,0,8.231264,1.47397,0.00000904851,217.12
random_mtx_36,71097,500,500,0,r,1,0,142.194,109,169,71097,0,100,3488,67609,4.906,0,71097,0,22.860928,24.987328,25.268768,24.276896,21.874111,23.25136,21.885183,0.914901,0.904711,0.941674,1.045113,0.983208,1.044585,0,0.0000000472473,0.0000000472473,5.35472E-10,0,0,0,14.752256,1.549656,0.0000113423,606.972
random_mtx_37,84621,500,500,0,r,1,0,169.242,143,205,84621,0,100,4279,80342,5.057,0,84621,0,24.280672,24.210913,24.557983,23.541824,26.628193,26.601152,27.585823,1.002881,0.988708,1.031384,0.911841,0.912768,0.880187,0,0.0000000402332,0.0000000402332,4.85255E-10,0,0,0,16.228607,1.496165,0.0000119377,759.549
random_mtx_38,62068,500,500,0,r,1,0,124.136,100,151,62068,0,100,3193,58875,5.144,0,62068,0,20.864639,25.9792,27.054079,20.943872,20.243967,19.978304,20.197472,0.803129,0.77122,0.996217,1.03066,1.044365,1.033032,0,0.0000000492744,0.0000000492744,6.31848E-10,0,0,0,20.316576,1.026976,0.0000105604,634.924
random_mtx_39,78865,500,500,0,r,1,0,157.73,131,190,78865,0,100,3885,74980,4.926,0,78865,0,24.772448,23.808672,28.671104,22.857697,23.43504,25.110847,23.576,1.04048,0.864021,1.083768,1.057069,0.986524,1.050749,0,0.0000000466574,0.0000000466574,5.08093E-10,0,0,0,15.524576,1.595692,0.0000109748,672.515
random_mtx_4,93971,500,500,0,r,1,0,187.942,156,220,93971,0,100,4780,89191,5.087,0,93971,0,32.064991,33.32576,33.317921,32.493439,32.702049,33.090847,32.517441,0.962168,0.962395,0.986814,0.980519,0.968999,0.986086,0,0.0000000483596,0.0000000483596,5.61696E-10,0,0,0,28.082785,1.141802,0.0000115686,561.804
random_mtx_40,85386,500,500,0,r,1,0,170.772,141,203,85386,0,100,4293,81093,5.028,0,85386,0,24.788992,24.375776,24.65056,26.333088,23.429249,27.376673,26.745825,1.016952,1.005616,0.941363,1.058036,0.905479,0.926836,0,0.0000000358196,0.0000000358196,4.33757E-10,0,0,0,16.424032,1.509312,0.0000127568,819.97
random_mtx_41,72465,500,500,0,r,1,0,144.93,118,180,72465,0,100,3550,68915,4.899,0,72465,0,21.48176,28.615232,25.08432,22.656609,21.96928,21.853792,21.991009,0.750711,0.856382,0.948145,0.977809,0.982976,0.976843,0,0.0000000458108,0.0000000458108,5.74573E-10,0,0,0,22.728992,0.945126,0.0000115046,708.952
